Driver,Team,Race,Position,Points,Fastest_Lap_Time
Driver_1,Team_5,Race_17,16,20.0,
Driver_2,Team_7,Race_19,3,21.0,1.295
Driver_3,Team_3,Race_15,2,19.0,1.054
Driver_4,Team_1,Race_18,20,19.0,
Driver_5,Team_4,Race_14,5,17.0,
Driver_6,Team_6,Race_13,14,10.0,
Driver_7,Team_6,Race_19,18,9.0,
Driver_8,Team_5,Race_2,3,,
Driver_9,Team_10,Race_4,18,6.0,
Driver_10,Team_5,Race_18,5,0.0,
Driver_11,Team_5,Race_20,11,,1.18
Driver_12,Team_3,Race_3,1,,1.121
Driver_13,Team_10,Race_18,12,,
Driver_14,Team_8,Race_3,10,23.0,
Driver_15,Team_6,Race_15,8,,
Driver_16,Team_7,Race_19,17,,1.116
Driver_17,Team_9,Race_13,14,,
Driver_18,Team_5,Race_6,5,12.0,
Driver_19,Team_8,Race_12,13,,
Driver_20,Team_7,Race_4,6,,1.201
Driver_21,Team_10,Race_3,2,,
Driver_22,Team_10,Race_14,2,14.0,1.351
Driver_23,Team_7,Race_7,12,,1.016
Driver_24,Team_6,Race_18,6,15.0,1.24
Driver_25,Team_7,Race_5,4,13.0,1.378
Driver_26,Team_9,Race_5,10,,1.091
Driver_27,Team_8,Race_6,2,19.0,1.461
Driver_28,Team_10,Race_15,4,,
Driver_29,Team_2,Race_5,3,,
Driver_30,Team_9,Race_11,15,25.0,
Driver_31,Team_10,Race_11,1,,1.399
Driver_32,Team_5,Race_12,10,,1.487
Driver_33,Team_5,Race_18,16,2.0,
Driver_34,Team_5,Race_13,12,,1.053
Driver_35,Team_7,Race_11,14,,
Driver_36,Team_5,Race_12,18,,1.444
Driver_37,Team_8,Race_5,10,,1.424
Driver_38,Team_2,Race_15,9,,1.221
Driver_39,Team_1,Race_10,5,,
Driver_40,Team_8,Race_11,2,,1.375
Driver_41,Team_1,Race_10,19,,1.05
Driver_42,Team_4,Race_19,5,,1.356
Driver_43,Team_9,Race_17,16,5.0,1.074
Driver_44,Team_6,Race_1,3,6.0,
Driver_45,Team_9,Race_18,16,1.0,
Driver_46,Team_5,Race_8,11,1.0,1.135
Driver_47,Team_9,Race_5,3,8.0,
Driver_48,Team_4,Race_2,2,,1.5
Driver_49,Team_7,Race_16,4,,
Driver_50,Team_6,Race_1,10,21.0,1.327
Driver_51,Team_9,Race_12,2,20.0,
Driver_52,Team_10,Race_3,20,,
Driver_53,Team_2,Race_1,10,5.0,1.257
Driver_54,Team_10,Race_15,11,,
Driver_55,Team_10,Race_19,16,,
Driver_56,Team_3,Race_15,9,,
Driver_57,Team_8,Race_7,15,,1.39
Driver_58,Team_8,Race_10,8,,
Driver_59,Team_9,Race_17,6,,
Driver_60,Team_7,Race_19,7,6.0,
Driver_61,Team_2,Race_7,5,5.0,1.485
Driver_62,Team_1,Race_1,7,,1.409
Driver_63,Team_1,Race_19,2,,1.075
Driver_64,Team_3,Race_8,13,6.0,
Driver_65,Team_1,Race_1,20,,1.453
Driver_66,Team_10,Race_15,10,,
Driver_67,Team_9,Race_6,10,23.0,1.086
Driver_68,Team_8,Race_17,14,13.0,
Driver_69,Team_2,Race_5,4,,
Driver_70,Team_5,Race_18,5,,
Driver_71,Team_3,Race_18,16,,
Driver_72,Team_6,Race_14,10,,
Driver_73,Team_6,Race_15,14,,
Driver_74,Team_7,Race_3,1,0.0,1.023
Driver_75,Team_8,Race_14,7,2.0,
Driver_76,Team_3,Race_7,5,13.0,1.178
Driver_77,Team_8,Race_6,1,11.0,1.096
Driver_78,Team_3,Race_18,9,,1.036
Driver_79,Team_4,Race_16,1,12.0,
Driver_80,Team_3,Race_3,16,,1.471
Driver_81,Team_5,Race_20,1,15.0,
Driver_82,Team_2,Race_18,12,,1.42
Driver_83,Team_10,Race_10,18,,1.325
Driver_84,Team_10,Race_9,9,,
Driver_85,Team_2,Race_16,17,17.0,1.167
Driver_86,Team_8,Race_17,17,,1.232
Driver_87,Team_7,Race_6,20,,
Driver_88,Team_7,Race_18,5,14.0,
Driver_89,Team_1,Race_18,17,,1.348
Driver_90,Team_2,Race_17,4,14.0,1.448
Driver_91,Team_2,Race_2,2,10.0,1.068
Driver_92,Team_3,Race_6,16,4.0,
Driver_93,Team_6,Race_11,7,,
Driver_94,Team_10,Race_14,16,,1.413
Driver_95,Team_1,Race_4,17,20.0,
Driver_96,Team_7,Race_17,20,,
Driver_97,Team_9,Race_20,9,,1.076
Driver_98,Team_1,Race_13,1,,1.051
Driver_99,Team_10,Race_9,18,,1.315
Driver_100,Team_4,Race_3,7,,1.257
