Driver,Team,Race,Position,Points,Fastest_Lap_Time
Driver_1,Team_2,Race_18,12,16.0,1.387
Driver_2,Team_1,Race_9,20,,
Driver_3,Team_6,Race_8,7,,1.029
Driver_4,Team_9,Race_2,12,15.0,1.096
Driver_5,Team_6,Race_2,1,5.0,1.216
Driver_6,Team_10,Race_16,8,21.0,
Driver_7,Team_3,Race_2,2,8.0,
Driver_8,Team_4,Race_13,4,,
Driver_9,Team_3,Race_18,9,,1.228
Driver_10,Team_10,Race_4,15,4.0,
Driver_11,Team_4,Race_9,12,,1.085
Driver_12,Team_6,Race_5,11,,
Driver_13,Team_7,Race_17,9,24.0,
Driver_14,Team_2,Race_20,12,18.0,1.246
Driver_15,Team_4,Race_4,3,22.0,
Driver_16,Team_3,Race_5,13,17.0,1.268
Driver_17,Team_10,Race_19,8,,1.435
Driver_18,Team_7,Race_5,14,,
Driver_19,Team_9,Race_17,2,3.0,
Driver_20,Team_4,Race_17,14,,
Driver_21,Team_3,Race_6,12,23.0,1.135
Driver_22,Team_5,Race_19,16,3.0,
Driver_23,Team_5,Race_19,7,,
Driver_24,Team_5,Race_2,16,,
Driver_25,Team_4,Race_20,10,18.0,
Driver_26,Team_8,Race_20,10,,
Driver_27,Team_9,Race_3,12,15.0,1.294
Driver_28,Team_5,Race_4,15,,
Driver_29,Team_8,Race_8,14,,1.187
Driver_30,Team_5,Race_2,17,,
Driver_31,Team_10,Race_19,19,,
Driver_32,Team_1,Race_9,17,20.0,1.038
Driver_33,Team_9,Race_14,9,25.0,
Driver_34,Team_1,Race_17,20,14.0,
Driver_35,Team_10,Race_13,17,2.0,
Driver_36,Team_8,Race_3,11,0.0,
Driver_37,Team_6,Race_3,13,,
Driver_38,Team_2,Race_8,2,6.0,
Driver_39,Team_9,Race_3,1,11.0,1.129
Driver_40,Team_3,Race_13,6,,1.316
Driver_41,Team_8,Race_19,5,,
Driver_42,Team_2,Race_3,13,4.0,
Driver_43,Team_9,Race_10,10,,1.235
Driver_44,Team_4,Race_15,15,,1.23
Driver_45,Team_9,Race_3,1,,1.058
Driver_46,Team_3,Race_20,19,,
Driver_47,Team_5,Race_18,19,,1.299
Driver_48,Team_5,Race_15,1,,
Driver_49,Team_2,Race_6,9,,
Driver_50,Team_6,Race_8,9,17.0,
Driver_51,Team_2,Race_18,10,6.0,1.117
Driver_52,Team_4,Race_11,6,,1.116
Driver_53,Team_2,Race_3,9,,
Driver_54,Team_10,Race_4,1,,1.431
Driver_55,Team_1,Race_7,9,14.0,
Driver_56,Team_8,Race_14,15,22.0,1.368
Driver_57,Team_7,Race_8,15,3.0,
Driver_58,Team_3,Race_7,5,1.0,1.175
Driver_59,Team_4,Race_6,18,20.0,1.329
Driver_60,Team_1,Race_7,10,14.0,1.256
Driver_61,Team_7,Race_1,17,11.0,
Driver_62,Team_5,Race_4,16,,1.205
Driver_63,Team_10,Race_8,15,24.0,
Driver_64,Team_3,Race_1,7,5.0,1.153
Driver_65,Team_6,Race_7,3,1.0,
Driver_66,Team_8,Race_5,5,22.0,
Driver_67,Team_7,Race_16,13,,
Driver_68,Team_7,Race_5,6,18.0,
Driver_69,Team_6,Race_16,3,10.0,
Driver_70,Team_5,Race_15,18,9.0,
Driver_71,Team_5,Race_13,18,4.0,
Driver_72,Team_5,Race_4,18,,1.293
Driver_73,Team_9,Race_4,14,,1.11
Driver_74,Team_6,Race_15,19,1.0,
Driver_75,Team_2,Race_20,18,10.0,1.116
Driver_76,Team_4,Race_18,12,22.0,
Driver_77,Team_10,Race_11,10,,1.496
Driver_78,Team_10,Race_1,16,12.0,1.117
Driver_79,Team_9,Race_3,19,23.0,1.44
Driver_80,Team_10,Race_1,17,15.0,
Driver_81,Team_6,Race_10,12,,
Driver_82,Team_8,Race_19,11,,
Driver_83,Team_6,Race_17,13,,
Driver_84,Team_2,Race_3,10,,
Driver_85,Team_10,Race_1,6,19.0,
Driver_86,Team_1,Race_7,9,,
Driver_87,Team_10,Race_7,3,7.0,
Driver_88,Team_2,Race_7,18,,1.147
Driver_89,Team_9,Race_14,3,,
Driver_90,Team_5,Race_17,18,,1.373
Driver_91,Team_10,Race_11,5,,
Driver_92,Team_1,Race_13,11,11.0,1.05
Driver_93,Team_5,Race_20,9,,1.181
Driver_94,Team_1,Race_16,8,24.0,
Driver_95,Team_9,Race_12,12,,1.363
Driver_96,Team_10,Race_2,15,,
Driver_97,Team_5,Race_5,8,9.0,1.008
Driver_98,Team_2,Race_10,15,,1.383
Driver_99,Team_4,Race_1,18,6.0,
Driver_100,Team_3,Race_4,14,20.0,
